subject_id,relation_id,object_id
PID_000001541154,RID_0035,PID_000000905961
PID_000000823432,RID_0035,PID_000000905961
PID_000000821641,RID_0033,PID_000000905961
PID_000000821708,RID_0035,PID_000000905961
PID_000000821706,RID_0035,PID_000000905961
PID_000000820480,RID_0035,PID_000000905961
PID_000000809658,RID_0035,PID_000000905961
PID_000000809967,RID_0035,PID_000000905961
PID_000000788053,RID_0035,PID_000000905961
PID_000000787765,RID_0033,PID_000000905961
PID_000000769424,RID_0035,PID_000000905961
PID_000000769654,RID_0035,PID_000000905961
PID_000000769510,RID_0035,PID_000000905961
PID_000000769234,RID_0035,PID_000000905961
PID_000000769146,RID_0035,PID_000000905961
PID_000000769060,RID_0035,PID_000000905961
PID_000000769066,RID_0035,PID_000000905961
PID_000000739847,RID_0035,PID_000000905961
PID_000001833451,RID_0035,PID_000000905961
PID_000001833607,RID_0035,PID_000000905961
PID_000001800264,RID_0035,PID_000000905961
PID_000001785436,RID_0035,PID_000000905961
PID_000001780493,RID_0035,PID_000000905961
PID_000001780490,RID_0035,PID_000000905961
PID_000001780520,RID_0035,PID_000000905961
PID_000001779830,RID_0035,PID_000000905961
PID_000001780059,RID_0035,PID_000000905961
PID_000001411252,RID_0035,PID_000000905961
PID_000001391460,RID_0035,PID_000000905961
PID_000001374546,RID_0035,PID_000000905961
PID_000001354980,RID_0035,PID_000000905961
PID_000001351649,RID_0035,PID_000000905961
PID_000001346664,RID_0035,PID_000000905961
PID_000001328263,RID_0035,PID_000000905961
PID_000001317266,RID_0035,PID_000000905961
PID_000001307316,RID_0035,PID_000000905961
PID_000000364753,RID_0035,PID_000000905961
PID_000000328957,RID_0035,PID_000000905961
PID_000000327887,RID_0035,PID_000000905961
PID_000000326073,RID_0035,PID_000000905961
PID_000000318270,RID_0035,PID_000000905961
PID_000000314098,RID_0035,PID_000000905961
PID_000000310563,RID_0035,PID_000000905961
PID_000000310942,RID_0033,PID_000000905961
PID_000000306238,RID_0035,PID_000000905961
PID_000000303039,RID_0035,PID_000000905961
PID_000000300252,RID_0035,PID_000000905961
PID_000000283360,RID_0035,PID_000000905961
PID_000000280997,RID_0035,PID_000000905961
PID_000000281607,RID_0035,PID_000000905961
PID_000000279922,RID_0035,PID_000000905961
PID_000000257585,RID_0035,PID_000000905961
PID_000001297302,RID_0035,PID_000000905961
PID_000001286483,RID_0035,PID_000000905961
PID_000001283553,RID_0035,PID_000000905961
PID_000001282468,RID_0035,PID_000000905961
PID_000001279342,RID_0035,PID_000000905961
PID_000001265466,RID_0035,PID_000000905961
PID_000001230991,RID_0035,PID_000000905961
PID_000001194984,RID_0035,PID_000000905961
PID_000001196126,RID_0035,PID_000000905961
PID_000001183787,RID_0035,PID_000000905961
PID_000001178064,RID_0035,PID_000000905961
PID_000000590850,RID_0033,PID_000000905961
PID_000000590568,RID_0035,PID_000000905961
PID_000000587562,RID_0035,PID_000000905961
PID_000000567535,RID_0033,PID_000000905961
PID_000000528714,RID_0033,PID_000000905961
PID_000000529722,RID_0035,PID_000000905961
PID_000000527719,RID_0035,PID_000000905961
PID_000000510744,RID_0035,PID_000000905961
PID_000000509934,RID_0035,PID_000000905961
PID_000000510402,RID_0035,PID_000000905961
PID_000000495933,RID_0035,PID_000000905961
PID_000000485442,RID_0035,PID_000000905961
