subject_id,attribute_id,object_label
PID_000000188521,AID_0001,Nizar Nayaruddin
PID_000000188521,AID_0001,Saad Al-Shahwani
PID_000000188521,AID_0001,Saeid Momeni
PID_000000188521,AID_0001,Yazid Kamaruzuan
PID_000000188521,AID_0001,Châu Đoàn Phát
PID_000000188521,AID_0001,Masaya Hashimoto
PID_000000188521,AID_0001,Mohamad Zreik
PID_000000188521,AID_0001,Murilo
PID_000000188521,AID_0001,Peng Boyao
PID_000000188521,AID_0001,Rafael Sakai
PID_000000188521,AID_0001,Trần Văn Vũ
PID_000000188521,AID_0001,Adolfo Yembise
PID_000000188521,AID_0001,Anzar
PID_000000188521,AID_0001,Cho Byung-geol
PID_000000188521,AID_0001,Hamdan Al-Katheeri
PID_000000188521,AID_0001,Nandi Sumawijaya
PID_000000188521,AID_0001,Feng Xiaoyu
PID_000000188521,AID_0001,Ghodrat Bahadori
PID_000000188521,AID_0001,Hamad Muftah
PID_000000188521,AID_0001,Helal Al-Jaberi
PID_000000188521,AID_0001,Hồ Văn Ý
PID_000000188521,AID_0001,Jordan Constantinidis
PID_000000188521,AID_0001,Kritsada Wongkaeo
PID_000000188521,AID_0001,Mouhammad Hammoud
PID_000000188521,AID_0001,Pavel Taku
PID_000000188521,AID_0001,Shukhrat Tojiboev
PID_000000188521,AID_0001,Sithu Aung
PID_000000188521,AID_0001,Ahn Kwang-su
PID_000000188521,AID_0001,Alireza Askari
PID_000000188521,AID_0001,Bahrom Yarmatov
PID_000000188521,AID_0001,Davronjon Abdurakhmanov
PID_000000188521,AID_0001,Kirill Ermolov
PID_000000188521,AID_0001,Mashrab Adilov
PID_000000188521,AID_0001,Nattawut Srirangpirot
PID_000000188521,AID_0001,Peter Tamburrino
PID_000000188521,AID_0001,Sorasak Phoonjungreed
PID_000000188521,AID_0001,Zaw Myo Htike
PID_000000188521,AID_0001,Babak Nasiri
PID_000000188521,AID_0001,Kaung Zaw Htet
PID_000000188521,AID_0001,Masataka Takami
PID_000000188521,AID_0001,Nguyễn Minh Trí
PID_000000188521,AID_0001,Ryan Timmins
PID_000000188521,AID_0001,Ryosuke Nishitani
PID_000000188521,AID_0001,Umed Kuziev
PID_000000188521,AID_0001,Zhao Liang
PID_000000188521,AID_0001,Adam Cooper
PID_000000188521,AID_0001,Al Fajri Zikri
PID_000000188521,AID_0001,Beksultan Nazarov
PID_000000188521,AID_0001,Dennis Bawana
PID_000000188521,AID_0001,Dilshod Salomov
PID_000000188521,AID_0001,Firuz Yusufzoda
PID_000000188521,AID_0001,Javlon Anorov
PID_000000188521,AID_0001,Jo Du-hee
PID_000000188521,AID_0001,Jonathan Barrientos
PID_000000188521,AID_0001,Lee Jung-min
PID_000000188521,AID_0001,Manas Abdrasul Uulu
PID_000000188521,AID_0001,Natthapon Suttiroj
PID_000000188521,AID_0001,Peerapat Kaewwilai
PID_000000188521,AID_0001,Rustam Hamidov
PID_000000188521,AID_0001,Rustam Umarov
PID_000000188521,AID_0001,Sherzod Jumaev
PID_000000188521,AID_0001,Younis Al-Hammadi
PID_000000188521,AID_0001,Mahdi Javid
PID_000000188521,AID_0001,Mohamed Al-Suhaiqi
PID_000000188521,AID_0001,Nyi Nyi San
PID_000000188521,AID_0001,Safari Golabvand
PID_000000188521,AID_0001,Thiha Soe
PID_000000188521,AID_0001,Waleed Khalid
PID_000000188521,AID_0001,Ahmad Abusabha
PID_000000188521,AID_0001,Myo Myint Soe
PID_000000188521,AID_0001,Ali Asghar Hassanzadeh
